,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item,emp_name,salary
0,2019-01-02,1.42,Gabel Energy,,Gabel: Email,No,Overhead,Overhead,EMP_8,1
1,2019-01-02,1.0,Lunch Break,,,,,,EMP_8,1
2,2019-01-02,0.33,DM Development,"17076 - Octavia Blvd. Parcel T, SF",Revision,Yes,Nonresidential,Energy Code Compliance Work,EMP_8,1
3,2019-01-02,1.08,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T31816: Jetpack,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,EMP_8,1
4,2019-01-02,0.67,Rest Break,,,,,,EMP_8,1
5,2019-01-02,0.42,BDE Architecture Inc.,18293 899 Alvarado,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_8,1
6,2019-01-02,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead,EMP_8,1
7,2019-01-02,2.25,DM Development,"17076 - Octavia Blvd. Parcel T, SF",Revision,Yes,Nonresidential,Extra Services,EMP_8,1
8,2019-01-03,0.75,Thomas Dolan Architecture,18388- 62ND street,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_8,1
9,2019-01-03,0.5,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,EMP_8,1
10,2019-01-03,0.33,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,EMP_8,1
11,2019-01-03,0.5,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,EMP_8,1
12,2019-01-03,0.42,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,EMP_8,1
13,2019-01-03,1.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_8,1
14,2019-01-03,0.42,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T31816: Jetpack,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,EMP_8,1
15,2019-01-03,0.25,Rest Break,,,,,,EMP_8,1
16,2019-01-03,0.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_8,1
17,2019-01-03,1.33,Lunch Break,,,,,,EMP_8,1
18,2019-01-03,0.92,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_8,1
19,2019-01-03,0.75,Thomas Dolan Architecture,18388- 62ND street,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_8,1
20,2019-01-03,0.5,Gabel Energy,,Gabel: Email,No,Overhead,Overhead,EMP_8,1
21,2019-01-03,0.75,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,EMP_8,1
22,2019-01-03,0.58,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,EMP_8,1
23,2019-01-04,1.25,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31814: Weekly/Monthly Check Ins: Weekly meeting with managers, instructor calls, etc.",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,EMP_8,1
24,2019-01-04,0.42,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_8,1
25,2019-01-04,2.0,Gabel Energy,,Gabel: Email,No,Overhead,Overhead,EMP_8,1
26,2019-01-04,0.5,Lunch Break,,,,,,EMP_8,1
27,2019-01-04,1.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead,EMP_8,1
28,2019-01-04,0.83,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_8,1
29,2019-01-04,0.42,Greystar,17232 Kifer Road [BDE],Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_8,1
