symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
rgls,2021-03-26,1.52,1.39,1.4298261825307874,1.7050000000000043,1.599264703472941,1.80099999999997
rgls,2021-03-29,1.39,1.56,1.5912688118770901,1.6660000000000044,1.5295098023152942,1.67079999999997
rgls,2021-03-30,1.56,1.56,1.558153726715468,1.6480000000000044,1.5396732015435297,1.6017999999999701
rgls,2021-03-31,1.56,1.58,1.5889095254238454,1.619000000000004,1.54644880102902,1.5183499999999703
rgls,2021-04-01,1.58,1.51,1.5260929745510468,1.605000000000004,1.5576325340193469,1.4830499999999704
rgls,2021-04-05,1.51,1.48,1.5261888106668149,1.572000000000004,1.5417550226795647,1.4132999999999705
rgls,2021-04-06,1.48,1.43,1.487159794181914,1.5410000000000044,1.52117001511971,1.3608499999999704
rgls,2021-04-07,1.43,1.49,1.5140005851216116,1.5100000000000042,1.4907800100798068,1.3185999999999705
rgls,2021-04-08,1.49,1.38,1.4181950426230328,1.5070000000000043,1.4905200067198712,1.3491999999999706
rgls,2021-04-09,1.38,1.39,1.4095736833012606,1.4900000000000042,1.453680004479914,1.3455499999999705
rgls,2021-04-12,1.39,1.19,1.2428415914987407,1.4770000000000043,1.4324533363199428,1.3472499999999705
rgls,2021-04-13,1.19,1.36,1.4380892023047553,1.457000000000004,1.3516355575466286,1.3285999999999705
rgls,2021-04-14,1.36,1.4,1.4264110303078044,1.437000000000004,1.354423705031086,1.3102499999999704
rgls,2021-04-15,1.4,1.29,1.3129479291940496,1.421000000000004,1.3696158033540573,1.2999499999999704
rgls,2021-04-16,1.29,1.23,1.281583410942693,1.392000000000004,1.3430772022360382,1.2593999999999705
rgls,2021-04-19,1.23,1.23,1.2615673241628678,1.3640000000000039,1.3053848014906921,1.2205999999999706
rgls,2021-04-20,1.23,1.21,1.231898954970858,1.339000000000004,1.2802565343271282,1.1883999999999708
rgls,2021-04-21,1.21,1.3,1.3300645376054299,1.3170000000000042,1.2568376895514188,1.1623499999999707
rgls,2021-04-22,1.3,1.43,1.4512659402516592,1.298000000000004,1.2712251263676126,1.1461999999999706
