symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
clov,2021-03-24,7.67,7.82,7.76450621453893,8.552500000000002,8.235389641290254,8.758749999999981
clov,2021-03-25,7.82,7.59,7.892732062447051,8.467500000000003,8.096926427526837,8.544374999999983
clov,2021-03-26,7.59,7.34,7.600897354211136,8.335500000000003,7.927950951684558,8.224949999999982
clov,2021-03-29,7.34,7.19,7.426951704732106,8.182000000000004,7.7319673011230385,7.8523749999999835
clov,2021-03-30,7.19,7.56,7.56459851898015,8.040000000000003,7.551311534082026,7.523399999999984
clov,2021-03-31,7.56,7.38,7.6205682515431565,7.921000000000004,7.554207689388018,7.276674999999983
clov,2021-04-01,7.38,7.5,7.677214639889079,7.812000000000003,7.496138459592013,7.088999999999983
clov,2021-04-05,7.5,7.61,7.6300180560356665,7.711000000000003,7.497425639728009,6.9465249999999825
clov,2021-04-06,7.61,7.35,7.572154644950649,7.5930000000000035,7.53495042648534,6.800849999999983
clov,2021-04-07,7.35,8.85,7.197470534700353,7.501000000000003,7.47330028432356,6.735174999999982
clov,2021-04-08,8.85,8.21,7.984349463009233,7.619000000000002,7.932200189549041,7.170199999999983
clov,2021-04-09,8.21,7.82,7.994702236177274,7.658000000000004,8.024800126366028,7.389124999999983
clov,2021-04-12,7.82,7.81,7.870385578847389,7.681000000000003,7.9565334175773526,7.544799999999983
clov,2021-04-13,7.81,7.42,7.653073483154199,7.728000000000003,7.907688945051568,7.730399999999982
clov,2021-04-14,7.42,7.35,7.504001689077535,7.751000000000003,7.7451259633677125,7.831249999999981
clov,2021-04-15,7.35,8.82,7.141146725120064,7.730000000000002,7.613417308911808,7.807399999999983
clov,2021-04-16,8.82,9.67,8.139957966739473,7.874000000000004,8.01561153927454,8.158099999999981
clov,2021-04-19,9.67,8.62,8.974715690729095,8.091000000000005,8.56707435951636,8.643599999999982
clov,2021-04-20,8.62,9.05,8.827238598692913,8.192000000000004,8.584716239677572,8.80624999999998
clov,2021-04-21,9.05,8.5,8.703920560489614,8.362000000000005,8.739810826451716,9.102099999999982
clov,2021-04-22,8.5,8.77,8.751078589162656,8.327000000000005,8.659873884301145,8.90839999999998
clov,2021-04-23,8.77,9.22,9.01694380321074,8.383000000000004,8.696582589534097,8.93964999999998
clov,2021-04-26,9.22,9.24,9.156126800656182,8.523000000000005,8.871055059689398,9.16334999999998
clov,2021-04-27,9.24,10.5,10.163637595489202,8.666000000000004,8.9940367064596,9.380149999999981
clov,2021-04-28,10.5,10.17,10.360423046839257,8.974000000000004,9.496024470973067,9.96669999999998
clov,2021-04-29,10.17,9.85,9.819315384004446,9.256000000000004,9.72068298064871,10.44279999999998
clov,2021-04-30,9.85,9.29,9.49267409983635,9.359000000000004,9.763788653765808,10.477549999999981
clov,2021-05-03,9.29,9.06,8.910781674973748,9.321000000000002,9.60585910251054,10.19804999999998
clov,2021-05-04,9.06,8.84,8.808423909507487,9.365000000000002,9.42390606834036,10.13209999999998
clov,2021-05-05,8.84,8.23,8.345842597569337,9.344000000000003,9.229270712226906,9.93229999999998
clov,2021-05-06,8.23,8.62,8.587465668882516,9.317000000000004,8.896180474817939,9.71629999999998
clov,2021-05-07,8.62,8.26,8.355654350956522,9.302000000000003,8.804120316545294,9.540949999999981
clov,2021-05-10,8.26,8.13,8.08577816898186,9.206000000000005,8.622746877696862,9.198499999999981
clov,2021-05-11,8.13,7.78,7.946244373494136,9.095000000000004,8.458497918464575,8.85664999999998
clov,2021-05-12,7.78,7.26,7.522147287485634,8.823000000000004,8.23233194564305,8.19929999999998
clov,2021-05-13,7.26,7.47,7.5575318453766,8.532000000000005,7.908221297095367,7.580399999999979
clov,2021-05-14,7.47,6.82,7.20023675866477,8.294000000000006,7.762147531396911,7.145149999999978
clov,2021-05-17,6.82,6.97,7.084976105860016,8.047000000000006,7.448098354264608,6.718749999999977
clov,2021-05-18,6.97,6.84,6.944976073453643,7.838000000000005,7.288732236176406,6.425299999999976
clov,2021-05-19,6.84,7.13,7.170818489975115,7.638000000000005,7.139154824117604,6.181199999999975
clov,2021-05-20,7.13,6.93,7.122271251996363,7.528000000000004,7.1361032160784035,6.174549999999975
clov,2021-05-21,6.93,6.92,7.037086944673251,7.3590000000000035,7.067402144052269,6.043499999999975
clov,2021-05-24,6.92,7.02,7.1292439016681985,7.225000000000003,7.018268096034847,6.005649999999974
clov,2021-05-25,7.02,7.33,7.371748731878319,7.1140000000000025,7.018845397356565,6.025299999999974
clov,2021-05-26,7.33,7.83,7.775174536341268,7.069000000000003,7.1225635982377105,6.175899999999975
clov,2021-05-27,7.83,7.64,7.769587480518642,7.126000000000002,7.358375732158475,6.529299999999975
clov,2021-05-28,7.64,7.73,7.767937043115307,7.1430000000000025,7.4522504881056495,6.744449999999975
clov,2021-06-01,7.73,8.74,8.493176916096434,7.2340000000000035,7.544833658737101,7.093899999999975
clov,2021-06-02,8.74,8.94,9.035343613731047,7.411000000000003,7.943222439158068,7.6004499999999755
clov,2021-06-03,8.94,9.0,8.955674860016757,7.621000000000002,8.275481626105378,8.127999999999975
clov,2021-06-04,9.0,11.92,11.040668924592307,7.8080000000000025,8.51698775073692,8.553499999999977
clov,2021-06-07,11.92,22.15,19.486538438826518,8.307000000000002,9.651325167157948,9.658799999999978
clov,2021-06-08,22.15,16.92,15.375394959039223,9.830000000000002,13.817550111438631,13.075549999999978
clov,2021-06-09,16.92,14.34,12.21215375997544,10.820000000000004,14.851700074292422,14.994649999999979
clov,2021-06-10,14.34,15.03,14.638185796158334,11.521000000000004,14.681133382861615,16.07934999999998
clov,2021-06-11,15.03,14.66,14.27958521234344,12.241000000000003,14.797422255241077,17.112099999999977
clov,2021-06-14,14.66,13.77,12.624691697071224,12.943000000000007,14.751614836827386,17.99709999999998
clov,2021-06-15,13.77,12.95,12.816009728051675,13.547000000000008,14.424409891218259,18.560149999999975
clov,2021-06-16,12.95,12.56,11.738530897868214,13.968000000000007,13.93293992747884,18.629099999999976
clov,2021-06-17,12.56,12.04,11.18940481631054,14.330000000000007,13.475293284985895,18.527749999999976
clov,2021-06-18,12.04,11.24,10.850531398229899,14.634000000000006,12.996862189990598,18.26384999999998
clov,2021-06-21,11.24,12.63,11.421869803548258,14.566000000000008,12.411241459993732,17.15499999999998
clov,2021-06-22,12.63,13.83,12.903209335917099,13.614000000000008,12.484160973329157,14.207399999999978
clov,2021-06-23,13.83,13.79,12.973991308054755,13.305000000000007,12.93277398221944,13.062149999999978
clov,2021-06-24,13.79,12.97,12.503221639763279,13.250000000000005,13.218515988146294,12.665299999999977
clov,2021-06-25,12.97,12.8,12.428470235359974,13.044000000000006,13.135677325430862,12.029849999999975
clov,2021-06-28,12.8,13.36,12.894062800775348,12.858000000000008,13.023784883620575,11.577599999999974
clov,2021-06-29,13.36,13.32,12.871673970122105,12.817000000000004,13.135856589080385,11.584599999999973
clov,2021-06-30,13.32,12.33,12.150222074290117,12.854000000000005,13.19723772605359,11.844199999999974
clov,2021-07-01,12.33,11.71,11.856654980775419,12.831000000000007,12.908158484035727,12.011549999999975
clov,2021-07-02,11.71,10.0,9.458858592067052,12.798000000000007,12.508772322690486,12.204449999999976
clov,2021-07-06,10.0,9.72,9.532321892774467,12.674000000000008,11.67251488179366,12.178249999999975
clov,2021-07-07,9.72,9.36,9.175441808721661,12.38300000000001,11.02167658786244,11.635399999999976
clov,2021-07-08,9.36,9.27,9.148288817715702,11.93600000000001,10.467784391908294,10.723249999999975
clov,2021-07-09,9.27,9.68,9.877694602702492,11.484000000000012,10.068522927938863,9.858149999999974
clov,2021-07-12,9.68,8.91,8.74471263075825,11.155000000000012,9.939015285292577,9.318999999999972
clov,2021-07-13,8.91,8.68,8.530683821070431,10.766000000000012,9.596010190195052,8.660299999999971
clov,2021-07-14,8.68,8.26,8.28417777740758,10.298000000000012,9.290673460130035,7.86814999999997
clov,2021-07-15,8.26,8.2,8.155779866708144,9.792000000000012,8.94711564008669,7.062449999999968
clov,2021-07-16,8.2,8.3,8.677702933623552,9.379000000000014,8.698077093391127,6.547749999999967
clov,2021-07-19,8.3,8.35,8.544902522706543,9.038000000000014,8.56538472892742,6.259249999999966
clov,2021-07-20,8.35,8.88,9.018115871179736,8.873000000000014,8.493589819284946,6.416899999999965
clov,2021-07-21,8.88,8.62,8.570698895885188,8.789000000000012,8.62239321285663,6.745999999999965
clov,2021-07-22,8.62,8.05,7.936298223817482,8.715000000000014,8.621595475237754,7.044149999999965
clov,2021-07-23,8.05,8.2,8.231051446698999,8.593000000000014,8.431063650158503,7.172799999999964
clov,2021-07-26,8.2,8.05,8.126684646553452,8.445000000000013,8.354042433439002,7.209299999999963
clov,2021-07-27,8.05,8.32,8.45996854300008,8.359000000000012,8.252694955626001,7.355349999999964
clov,2021-07-28,8.32,8.22,8.202012087842501,8.323000000000013,8.275129970417336,7.561599999999965
clov,2021-07-29,8.22,8.07,8.016867690060682,8.319000000000013,8.256753313611558,7.772549999999965
clov,2021-07-30,8.07,8.15,8.096743627353455,8.306000000000013,8.194502209074372,7.900999999999966
clov,2021-08-02,8.15,8.12,8.036424700085465,8.291000000000015,8.179668139382915,7.9755499999999655
clov,2021-08-03,8.12,7.92,7.898911629847185,8.268000000000015,8.15977875958861,8.008799999999965
clov,2021-08-04,7.92,8.13,8.27396307564955,8.172000000000015,8.079852506392406,7.861349999999964
clov,2021-08-05,8.13,8.07,8.091154257953566,8.123000000000015,8.096568337594938,7.827649999999965
clov,2021-08-06,8.07,8.81,9.150249746817543,8.125000000000016,8.087712225063292,7.9028499999999635
clov,2021-08-09,8.81,8.81,9.150249746817543,8.186000000000016,8.328474816708862,8.094199999999963
